Vivado Simulator 2016.2
Time resolution is 1 ps
i=xxxx, x=xxxxxxxxxxxxxxxx, y=xxxxxxxxxxxxxxxx, z=xxxxxxxxxxxxxxxx
i=0000, x=0010011011011101, y=0000000000000000, z=0110010010001000
i=0000, x=0001001101101110, y=0000000000000000, z=0011001001000100
i=0000, x=0000100110110111, y=0000000000000000, z=0001100100100010
i=0000, x=0000010011011011, y=0000000000000000, z=0000110010010001
i=0000, x=0000001001101101, y=0000000000000000, z=0000011001001000
i=0000, x=0000000100110110, y=0000000000000000, z=0000001100100100
i=0000, x=0000000010011011, y=0000000000000000, z=0000000110010010
i=0000, x=0000000001001101, y=0000000000000000, z=0000000011001001
i=0000, x=0000000000100110, y=0000000000000000, z=0000000001100100
i=0000, x=0000000000010011, y=0000000000000000, z=0000000000110010
i=0000, x=0000000000001001, y=0000000000000000, z=0000000000011001
i=0000, x=0000000000000100, y=0000000000000000, z=0000000000001100
i=0000, x=0000000000000010, y=0000000000000000, z=0000000000000110
i=0000, x=0000000000000001, y=0000000000000000, z=0000000000000011
i=0000, x=0000000000000000, y=0000000000000000, z=0000000000000001
i=0000, x=0000000000000000, y=0000000000000000, z=0000000000000000
i=0001, x=0010011011011101, y=0010011011011101, z=0011001001000100
i=0001, x=0001001101101110, y=0001001101101110, z=0001100100100010
i=0001, x=0000100110110111, y=0000100110110111, z=0000110010010001
i=0001, x=0000010011011011, y=0000010011011011, z=0000011001001000
i=0001, x=0000001001101101, y=0000001001101101, z=0000001100100100
i=0001, x=0000000100110110, y=0000000100110110, z=0000000110010010
i=0001, x=0000000010011011, y=0000000010011011, z=0000000011001001
i=0001, x=0000000001001101, y=0000000001001101, z=0000000001100100
i=0001, x=0000000000100110, y=0000000000100110, z=0000000000110010
i=0001, x=0000000000010011, y=0000000000010011, z=0000000000011001
i=0001, x=0000000000001001, y=0000000000001001, z=0000000000001100
i=0001, x=0000000000000100, y=0000000000000100, z=0000000000000110
i=0001, x=0000000000000010, y=0000000000000010, z=0000000000000011
i=0001, x=0000000000000001, y=0000000000000001, z=0000000000000001
i=0001, x=0000000000000000, y=0000000000000000, z=0000000000000000
i=0010, x=0001001101101111, y=0011101001001011, z=0001010010011000
i=0010, x=0000100110110111, y=0001110100100101, z=0000101001001100
i=0010, x=0000010011011011, y=0000111010010010, z=0000010100100110
i=0010, x=0000001001101101, y=0000011101001001, z=0000001010010011
i=0010, x=0000000100110110, y=0000001110100100, z=0000000101001001
i=0010, x=0000000010011011, y=0000000111010010, z=0000000010100100
i=0010, x=0000000001001101, y=0000000011101001, z=0000000001010010
i=0010, x=0000000000100110, y=0000000001110100, z=0000000000101001
i=0010, x=0000000000010011, y=0000000000111010, z=0000000000010100
i=0010, x=0000000000001001, y=0000000000011101, z=0000000000001010
i=0010, x=0000000000000100, y=0000000000001110, z=0000000000000101
i=0010, x=0000000000000010, y=0000000000000111, z=0000000000000010
i=0010, x=0000000000000001, y=0000000000000011, z=0000000000000001
i=0010, x=0000000000000000, y=0000000000000001, z=0000000000000000
i=0010, x=0000000000000000, y=0000000000000000, z=0000000000000000
i=0011, x=0000010011011101, y=0011111100100110, z=0000010011101010
i=0011, x=0000001001101110, y=0001111110010011, z=0000001001110101
i=0011, x=0000000100110111, y=0000111111001001, z=0000000100111010
i=0011, x=0000000010011011, y=0000011111100100, z=0000000010011101
i=0011, x=0000000001001101, y=0000001111110010, z=0000000001001110
i=0011, x=0000000000100110, y=0000000111111001, z=0000000000100111
i=0011, x=0000000000010011, y=0000000011111100, z=0000000000010011
i=0011, x=0000000000001001, y=0000000001111110, z=0000000000001001
i=0011, x=0000000000000100, y=0000000000111111, z=0000000000000100
i=0011, x=0000000000000010, y=0000000000011111, z=0000000000000010
i=0011, x=0000000000000001, y=0000000000001111, z=0000000000000001
i=0011, x=0000000000000000, y=0000000000000111, z=0000000000000000
i=0011, x=0000000000000000, y=0000000000000011, z=0000000000000000
i=0011, x=0000000000000000, y=0000000000000001, z=0000000000000000
i=0011, x=0000000000000000, y=0000000000000000, z=0000000000000000
i=0100, x=1111110011111001, y=0011111111000001, z=1111110011110101
i=0100, x=1111111001111100, y=0001111111100000, z=0111111001111010
i=0100, x=1111111100111110, y=0000111111110000, z=0011111100111101
i=0100, x=1111111110011111, y=0000011111111000, z=0001111110011110
i=0100, x=1111111111001111, y=0000001111111100, z=0000111111001111
i=0100, x=1111111111100111, y=0000000111111110, z=0000011111100111
i=0100, x=1111111111110011, y=0000000011111111, z=0000001111110011
i=0100, x=1111111111111001, y=0000000001111111, z=0000000111111001
i=0100, x=1111111111111100, y=0000000000111111, z=0000000011111100
i=0100, x=1111111111111110, y=0000000000011111, z=0000000001111110
i=0100, x=1111111111111111, y=0000000000001111, z=0000000000111111
i=0100, x=1111111111111111, y=0000000000000111, z=0000000000011111
i=0100, x=1111111111111111, y=0000000000000011, z=0000000000001111
i=0100, x=1111111111111111, y=0000000000000001, z=0000000000000111
i=0100, x=1111111111111111, y=0000000000000000, z=0000000000000011
i=0100, x=1111111111111111, y=0000000000000000, z=0000000000000001
i=0100, x=1111111111111111, y=0000000000000000, z=0000000000000000
i=0101, x=0000000011110101, y=0011111111110010, z=0000000011110100
i=0101, x=0000000001111010, y=0001111111111001, z=0000000001111010
i=0101, x=0000000000111101, y=0000111111111100, z=0000000000111101
i=0101, x=0000000000011110, y=0000011111111110, z=0000000000011110
i=0101, x=0000000000001111, y=0000001111111111, z=0000000000001111
i=0101, x=0000000000000111, y=0000000111111111, z=0000000000000111
i=0101, x=0000000000000011, y=0000000011111111, z=0000000000000011
i=0101, x=0000000000000001, y=0000000001111111, z=0000000000000001
i=0101, x=0000000000000000, y=0000000000111111, z=0000000000000000
i=0101, x=0000000000000000, y=0000000000011111, z=0000000000000000
i=0101, x=0000000000000000, y=0000000000001111, z=0000000000000000
i=0101, x=0000000000000000, y=0000000000000111, z=0000000000000000
i=0101, x=0000000000000000, y=0000000000000011, z=0000000000000000
i=0101, x=0000000000000000, y=0000000000000001, z=0000000000000000
i=0101, x=0000000000000000, y=0000000000000000, z=0000000000000000
i=0110, x=1111111011110110, y=0011111111111001, z=1111111011110100
i=0110, x=1111111101111011, y=0001111111111100, z=0111111101111010
i=0110, x=1111111110111101, y=0000111111111110, z=0011111110111101
i=0110, x=1111111111011110, y=0000011111111111, z=0001111111011110
i=0110, x=1111111111101111, y=0000001111111111, z=0000111111101111
i=0110, x=1111111111110111, y=0000000111111111, z=0000011111110111
i=0110, x=1111111111111011, y=0000000011111111, z=0000001111111011
i=0110, x=1111111111111101, y=0000000001111111, z=0000000111111101
i=0110, x=1111111111111110, y=0000000000111111, z=0000000011111110
i=0110, x=1111111111111111, y=0000000000011111, z=0000000001111111
i=0110, x=1111111111111111, y=0000000000001111, z=0000000000111111
i=0110, x=1111111111111111, y=0000000000000111, z=0000000000011111
i=0110, x=1111111111111111, y=0000000000000011, z=0000000000001111
i=0110, x=1111111111111111, y=0000000000000001, z=0000000000000111
i=0110, x=1111111111111111, y=0000000000000000, z=0000000000000011
i=0110, x=1111111111111111, y=0000000000000000, z=0000000000000001
i=0110, x=1111111111111111, y=0000000000000000, z=0000000000000000
i=0111, x=1111111111110101, y=0011111111111110, z=1111111111110100
i=0111, x=1111111111111010, y=0001111111111111, z=0111111111111010
i=0111, x=1111111111111101, y=0000111111111111, z=0011111111111101
i=0111, x=1111111111111110, y=0000011111111111, z=0001111111111110
i=0111, x=1111111111111111, y=0000001111111111, z=0000111111111111
i=0111, x=1111111111111111, y=0000000111111111, z=0000011111111111
i=0111, x=1111111111111111, y=0000000011111111, z=0000001111111111
i=0111, x=1111111111111111, y=0000000001111111, z=0000000111111111
i=0111, x=1111111111111111, y=0000000000111111, z=0000000011111111
i=0111, x=1111111111111111, y=0000000000011111, z=0000000001111111
i=0111, x=1111111111111111, y=0000000000001111, z=0000000000111111
i=0111, x=1111111111111111, y=0000000000000111, z=0000000000011111
i=0111, x=1111111111111111, y=0000000000000011, z=0000000000001111
i=0111, x=1111111111111111, y=0000000000000001, z=0000000000000111
i=0111, x=1111111111111111, y=0000000000000000, z=0000000000000011
i=0111, x=1111111111111111, y=0000000000000000, z=0000000000000001
i=0111, x=1111111111111111, y=0000000000000000, z=0000000000000000
i=1000, x=0000000001110100, y=0011111111111111, z=0000000001110100
i=1000, x=0000000000111010, y=0001111111111111, z=0000000000111010
i=1000, x=0000000000011101, y=0000111111111111, z=0000000000011101
i=1000, x=0000000000001110, y=0000011111111111, z=0000000000001110
i=1000, x=0000000000000111, y=0000001111111111, z=0000000000000111
i=1000, x=0000000000000011, y=0000000111111111, z=0000000000000011
i=1000, x=0000000000000001, y=0000000011111111, z=0000000000000001
i=1000, x=0000000000000000, y=0000000001111111, z=0000000000000000
i=1000, x=0000000000000000, y=0000000000111111, z=0000000000000000
i=1000, x=0000000000000000, y=0000000000011111, z=0000000000000000
i=1000, x=0000000000000000, y=0000000000001111, z=0000000000000000
i=1000, x=0000000000000000, y=0000000000000111, z=0000000000000000
i=1000, x=0000000000000000, y=0000000000000011, z=0000000000000000
i=1000, x=0000000000000000, y=0000000000000001, z=0000000000000000
i=1000, x=0000000000000000, y=0000000000000000, z=0000000000000000
i=1001, x=0000000000110101, y=0011111111111111, z=0000000000110100
i=1001, x=0000000000011010, y=0001111111111111, z=0000000000011010
i=1001, x=0000000000001101, y=0000111111111111, z=0000000000001101
i=1001, x=0000000000000110, y=0000011111111111, z=0000000000000110
i=1001, x=0000000000000011, y=0000001111111111, z=0000000000000011
