Vivado Simulator 2017.2
Time resolution is 1 ps
i=xxxx, x=xxxxxxxxxxxxxxxx, y=xxxxxxxxxxxxxxxx12868
i=0000, x=0010011011011101, y=000000000000000012868
i=0000, x=0001001101101110, y=000000000000000012868
i=0000, x=0000100110110111, y=000000000000000012868
i=0000, x=0000010011011011, y=000000000000000012868
i=0000, x=0000001001101101, y=000000000000000012868
i=0000, x=0000000100110110, y=000000000000000012868
i=0000, x=0000000010011011, y=000000000000000012868
i=0000, x=0000000001001101, y=000000000000000012868
i=0000, x=0000000000100110, y=000000000000000012868
i=0000, x=0000000000010011, y=000000000000000012868
i=0000, x=0000000000001001, y=000000000000000012868
i=0000, x=0000000000000100, y=000000000000000012868
i=0000, x=0000000000000010, y=000000000000000012868
i=0000, x=0000000000000001, y=000000000000000012868
i=0000, x=0000000000000000, y=000000000000000012868
i=0001, x=0010011011011101, y=001001101101110112868
i=0001, x=0001001101101110, y=000100110110111012868
i=0001, x=0000100110110111, y=000010011011011112868
i=0001, x=0000010011011011, y=000001001101101112868
i=0001, x=0000001001101101, y=000000100110110112868
i=0001, x=0000000100110110, y=000000010011011012868
i=0001, x=0000000010011011, y=000000001001101112868
i=0001, x=0000000001001101, y=000000000100110112868
i=0001, x=0000000000100110, y=000000000010011012868
i=0001, x=0000000000010011, y=000000000001001112868
i=0001, x=0000000000001001, y=000000000000100112868
i=0001, x=0000000000000100, y=000000000000010012868
i=0001, x=0000000000000010, y=000000000000001012868
i=0001, x=0000000000000001, y=000000000000000112868
i=0001, x=0000000000000000, y=000000000000000012868
i=0010, x=0001001101101111, y=001110100100101112868
i=0010, x=0000100110110111, y=000111010010010112868
i=0010, x=0000010011011011, y=000011101001001012868
i=0010, x=0000001001101101, y=000001110100100112868
i=0010, x=0000000100110110, y=000000111010010012868
i=0010, x=0000000010011011, y=000000011101001012868
i=0010, x=0000000001001101, y=000000001110100112868
i=0010, x=0000000000100110, y=000000000111010012868
i=0010, x=0000000000010011, y=000000000011101012868
i=0010, x=0000000000001001, y=000000000001110112868
i=0010, x=0000000000000100, y=000000000000111012868
i=0010, x=0000000000000010, y=000000000000011112868
i=0010, x=0000000000000001, y=000000000000001112868
i=0010, x=0000000000000000, y=000000000000000112868
i=0010, x=0000000000000000, y=000000000000000012868
i=0011, x=0010001000000001, y=001101010111000012868
i=0011, x=0001000100000000, y=000110101011100012868
i=0011, x=0000100010000000, y=000011010101110012868
i=0011, x=0000010001000000, y=000001101010111012868
i=0011, x=0000001000100000, y=000000110101011112868
i=0011, x=0000000100010000, y=000000011010101112868
i=0011, x=0000000010001000, y=000000001101010112868
i=0011, x=0000000001000100, y=000000000110101012868
i=0011, x=0000000000100010, y=000000000011010112868
i=0011, x=0000000000010001, y=000000000001101012868
i=0011, x=0000000000001000, y=000000000000110112868
i=0011, x=0000000000000100, y=000000000000011012868
i=0011, x=0000000000000010, y=000000000000001112868
i=0011, x=0000000000000001, y=000000000000000112868
i=0011, x=0000000000000000, y=000000000000000012868
i=0100, x=0010100010101111, y=001100010011000012868
i=0100, x=0001010001010111, y=000110001001100012868
i=0100, x=0000101000101011, y=000011000100110012868
i=0100, x=0000010100010101, y=000001100010011012868
i=0100, x=0000001010001010, y=000000110001001112868
i=0100, x=0000000101000101, y=000000011000100112868
i=0100, x=0000000010100010, y=000000001100010012868
i=0100, x=0000000001010001, y=000000000110001012868
i=0100, x=0000000000101000, y=000000000011000112868
i=0100, x=0000000000010100, y=000000000001100012868
i=0100, x=0000000000001010, y=000000000000110012868
i=0100, x=0000000000000101, y=000000000000011012868
i=0100, x=0000000000000010, y=000000000000001112868
i=0100, x=0000000000000001, y=000000000000000112868
i=0100, x=0000000000000000, y=000000000000000012868
i=0101, x=0010101111000010, y=001011101010011012868
i=0101, x=0001010111100001, y=000101110101001112868
i=0101, x=0000101011110000, y=000010111010100112868
i=0101, x=0000010101111000, y=000001011101010012868
i=0101, x=0000001010111100, y=000000101110101012868
i=0101, x=0000000101011110, y=000000010111010112868
i=0101, x=0000000010101111, y=000000001011101012868
i=0101, x=0000000001010111, y=000000000101110112868
i=0101, x=0000000000101011, y=000000000010111012868
i=0101, x=0000000000010101, y=000000000001011112868
i=0101, x=0000000000001010, y=000000000000101112868
i=0101, x=0000000000000101, y=000000000000010112868
i=0101, x=0000000000000010, y=000000000000001012868
i=0101, x=0000000000000001, y=000000000000000112868
i=0101, x=0000000000000000, y=000000000000000012868
i=0110, x=0010110100110111, y=001011010100100012868
i=0110, x=0001011010011011, y=000101101010010012868
i=0110, x=0000101101001101, y=000010110101001012868
i=0110, x=0000010110100110, y=000001011010100112868
i=0110, x=0000001011010011, y=000000101101010012868
i=0110, x=0000000101101001, y=000000010110101012868
i=0110, x=0000000010110100, y=000000001011010112868
i=0110, x=0000000001011010, y=000000000101101012868
i=0110, x=0000000000101101, y=000000000010110112868
i=0110, x=0000000000010110, y=000000000001011012868
i=0110, x=0000000000001011, y=000000000000101112868
i=0110, x=0000000000000101, y=000000000000010112868
i=0110, x=0000000000000010, y=000000000000001012868
i=0110, x=0000000000000001, y=000000000000000112868
i=0110, x=0000000000000000, y=000000000000000012868
i=0111, x=0010110111101100, y=001011001001010012868
i=0111, x=0001011011110110, y=000101100100101012868
i=0111, x=0000101101111011, y=000010110010010112868
i=0111, x=0000010110111101, y=000001011001001012868
i=0111, x=0000001011011110, y=000000101100100112868
i=0111, x=0000000101101111, y=000000010110010012868
i=0111, x=0000000010110111, y=000000001011001012868
i=0111, x=0000000001011011, y=000000000101100112868
i=0111, x=0000000000101101, y=000000000010110012868
i=0111, x=0000000000010110, y=000000000001011012868
i=0111, x=0000000000001011, y=000000000000101112868
i=0111, x=0000000000000101, y=000000000000010112868
i=0111, x=0000000000000010, y=000000000000001012868
i=0111, x=0000000000000001, y=000000000000000112868
i=0111, x=0000000000000000, y=000000000000000012868
i=1000, x=0010110110010011, y=001011001110111112868
i=1000, x=0001011011001001, y=000101100111011112868
i=1000, x=0000101101100100, y=000010110011101112868
i=1000, x=0000010110110010, y=000001011001110112868
i=1000, x=0000001011011001, y=000000101100111012868
i=1000, x=0000000101101100, y=000000010110011112868
i=1000, x=0000000010110110, y=000000001011001112868
i=1000, x=0000000001011011, y=000000000101100112868
i=1000, x=0000000000101101, y=000000000010110012868
i=1000, x=0000000000010110, y=000000000001011012868
i=1000, x=0000000000001011, y=000000000000101112868
i=1000, x=0000000000000101, y=000000000000010112868
i=1000, x=0000000000000010, y=000000000000001012868
