Vivado Simulator 2017.2
Time resolution is 1 ps
it=xxxx, x=xxxxxxxxxxxxxxxx, z0=0000000000000000
it=0000, x=0010011011011101, z0=0000000000000000
it=0000, x=0001001101101110, z0=0000000000000000
it=0000, x=0000100110110111, z0=0000000000000000
it=0000, x=0000010011011011, z0=0000000000000000
it=0000, x=0000001001101101, z0=0000000000000000
it=0000, x=0000000100110110, z0=0000000000000000
it=0000, x=0000000010011011, z0=0000000000000000
it=0000, x=0000000001001101, z0=0000000000000000
it=0000, x=0000000000100110, z0=0000000000000000
it=0000, x=0000000000010011, z0=0000000000000000
it=0000, x=0000000000001001, z0=0000000000000000
it=0000, x=0000000000000100, z0=0000000000000000
it=0000, x=0000000000000010, z0=0000000000000000
it=0000, x=0000000000000001, z0=0000000000000000
it=0000, x=0000000000000000, z0=0000000000000000
it=0001, x=0010011011011101, z0=0000000000000000
it=0001, x=0001001101101110, z0=0000000000000000
it=0001, x=0000100110110111, z0=0000000000000000
it=0001, x=0000010011011011, z0=0000000000000000
it=0001, x=0000001001101101, z0=0000000000000000
it=0001, x=0000000100110110, z0=0000000000000000
it=0001, x=0000000010011011, z0=0000000000000000
it=0001, x=0000000001001101, z0=0000000000000000
it=0001, x=0000000000100110, z0=0000000000000000
it=0001, x=0000000000010011, z0=0000000000000000
it=0001, x=0000000000001001, z0=0000000000000000
it=0001, x=0000000000000100, z0=0000000000000000
it=0001, x=0000000000000010, z0=0000000000000000
it=0001, x=0000000000000001, z0=0000000000000000
it=0001, x=0000000000000000, z0=0000000000000000
it=0010, x=0011101001001011, z0=0000000000000000
it=0010, x=0001110100100101, z0=0000000000000000
it=0010, x=0000111010010010, z0=0000000000000000
it=0010, x=0000011101001001, z0=0000000000000000
it=0010, x=0000001110100100, z0=0000000000000000
it=0010, x=0000000111010010, z0=0000000000000000
it=0010, x=0000000011101001, z0=0000000000000000
it=0010, x=0000000001110100, z0=0000000000000000
it=0010, x=0000000000111010, z0=0000000000000000
it=0010, x=0000000000011101, z0=0000000000000000
it=0010, x=0000000000001110, z0=0000000000000000
it=0010, x=0000000000000111, z0=0000000000000000
it=0010, x=0000000000000011, z0=0000000000000000
it=0010, x=0000000000000001, z0=0000000000000000
it=0010, x=0000000000000000, z0=0000000000000000
it=0011, x=0011111100100110, z0=0000000000000000
it=0011, x=0001111110010011, z0=0000000000000000
it=0011, x=0000111111001001, z0=0000000000000000
it=0011, x=0000011111100100, z0=0000000000000000
it=0011, x=0000001111110010, z0=0000000000000000
it=0011, x=0000000111111001, z0=0000000000000000
it=0011, x=0000000011111100, z0=0000000000000000
it=0011, x=0000000001111110, z0=0000000000000000
it=0011, x=0000000000111111, z0=0000000000000000
it=0011, x=0000000000011111, z0=0000000000000000
it=0011, x=0000000000001111, z0=0000000000000000
it=0011, x=0000000000000111, z0=0000000000000000
it=0011, x=0000000000000011, z0=0000000000000000
it=0011, x=0000000000000001, z0=0000000000000000
